periodo;regiao;total_urgencias;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;obitos;internamentos;dias_internamento;ambulatorio;mortalidade_alta;pressao_total;pressao_alta
2021-01-01;Região de Saúde Alentejo;18540;16524;1682;334;0;539;2517;20553;1673;0;23070;0
2021-01-01;Região de Saúde Algarve;17820;14077;2386;1357;0;438;2427;23907;1478;0;26334;0
2021-01-01;Região de Saúde Centro;58131;45876;8203;4052;0;1885;11089;102188;8046;1;113277;0
2021-01-01;Região de Saúde LVT;111233;82063;19344;9492;334;3318;20581;199506;16638;1;220087;1
2021-01-01;Região de Saúde Norte;117888;98698;11888;7302;0;2569;22899;182882;24536;1;205781;1
2021-02-01;Região de Saúde Alentejo;32714;29447;2565;702;0;361;2247;19866;1656;0;22113;0
2021-02-01;Região de Saúde Algarve;31652;25188;3869;2595;0;300;2261;21628;1319;0;23889;0
2021-02-01;Região de Saúde Centro;102922;82207;12845;7870;0;1266;10264;98168;7608;1;108432;0
2021-02-01;Região de Saúde LVT;193822;145435;29413;18322;652;2557;19780;193540;15726;1;213320;1
2021-02-01;Região de Saúde Norte;210094;176774;19049;14271;0;1736;20782;170899;24324;1;191681;1
2021-03-01;Região de Saúde Alentejo;51328;46458;3793;1077;0;243;2611;21581;2510;0;24192;0
2021-03-01;Região de Saúde Algarve;49561;39636;5871;4054;0;247;2481;27666;1954;0;30147;0
2021-03-01;Região de Saúde Centro;162992;130631;19709;12652;0;861;11990;100099;11704;1;112089;0
2021-03-01;Região de Saúde LVT;305311;229223;45463;29535;1090;1653;22424;208615;21718;1;231039;1
2021-03-01;Região de Saúde Norte;332241;279706;29657;22878;0;1374;24965;188319;30342;1;213284;1
2021-04-01;Região de Saúde Alentejo;72553;65327;5766;1460;0;202;2484;19303;2364;0;21787;0
2021-04-01;Região de Saúde Algarve;70299;55497;9250;5552;0;196;2439;21063;1852;0;23502;0
2021-04-01;Região de Saúde Centro;231815;182620;31860;17335;0;817;12091;97564;11706;0;109655;0
2021-04-01;Região de Saúde LVT;439417;322173;74267;41354;1623;1399;22382;192881;22096;1;215263;1
2021-04-01;Região de Saúde Norte;471684;392963;47168;31553;0;1244;24619;181201;28261;1;205820;1
2021-05-01;Região de Saúde Alentejo;97868;87304;8678;1886;0;218;2739;22467;2453;0;25206;0
2021-05-01;Região de Saúde Algarve;95525;74538;13939;7048;0;211;2631;22306;2019;0;24937;0
2021-05-01;Região de Saúde Centro;312470;242760;47327;22383;0;768;12634;99438;12475;0;112072;0
2021-05-01;Região de Saúde LVT;604834;432980;115715;53974;2165;1396;23100;185452;22589;1;208552;1
2021-05-01;Região de Saúde Norte;634320;522152;71234;40934;0;1257;25780;182718;28782;1;208498;1
2021-06-01;Região de Saúde Alentejo;123768;109526;11928;2314;0;176;2573;19902;2323;0;22475;0
2021-06-01;Região de Saúde Algarve;123126;95068;19360;8698;0;216;2606;23740;2078;0;26346;0
2021-06-01;Região de Saúde Centro;397348;304488;65425;27435;0;794;12231;100501;11852;0;112732;0
2021-06-01;Região de Saúde LVT;775461;544855;160812;67143;2651;1369;22356;187839;20789;1;210195;1
2021-06-01;Região de Saúde Norte;805469;655134;99911;50424;0;1283;24112;182652;26830;1;206764;1
2021-07-01;Região de Saúde Alentejo;151300;133360;15191;2749;0;217;2711;20923;2273;0;23634;0
2021-07-01;Região de Saúde Algarve;153876;118211;25134;10531;0;242;2902;25327;2089;0;28229;0
2021-07-01;Região de Saúde Centro;486081;369816;83441;32824;0;804;12555;100466;11822;0;113021;0
2021-07-01;Região de Saúde LVT;944597;659343;201492;80605;3157;1474;23675;196420;21358;1;220095;1
2021-07-01;Região de Saúde Norte;985869;798027;127218;60624;0;1345;25382;187377;29148;1;212759;1
2021-08-01;Região de Saúde Alentejo;179342;158128;18049;3165;0;242;2475;19724;1811;0;22199;0
2021-08-01;Região de Saúde Algarve;187855;144520;30932;12403;0;252;2878;25760;2131;0;28638;0
2021-08-01;Região de Saúde Centro;574670;437578;98630;38462;0;880;11991;102705;9813;1;114696;0
2021-08-01;Região de Saúde LVT;1104732;773918;233160;93990;3664;1509;22150;191186;19872;1;213336;1
2021-08-01;Região de Saúde Norte;1163219;942708;149024;71487;0;1436;23517;178301;23154;1;201818;1
2021-09-01;Região de Saúde Alentejo;205459;180718;21093;3648;0;228;2623;20574;2232;0;23197;0
2021-09-01;Região de Saúde Algarve;216604;166246;36196;14162;0;250;2728;24474;2110;0;27202;0
2021-09-01;Região de Saúde Centro;657069;498852;114408;43809;0;815;12104;99566;12229;0;111670;0
2021-09-01;Região de Saúde LVT;1272052;886582;273451;107767;4252;1378;22374;192074;21884;1;214448;1
2021-09-01;Região de Saúde Norte;1333454;1077004;175029;81421;0;1323;24636;186390;28073;1;211026;1
2021-10-01;Região de Saúde Alentejo;235504;205577;25849;4078;0;242;2696;20824;2266;0;23520;0
2021-10-01;Região de Saúde Algarve;247132;188122;43216;15794;0;257;2801;24947;2057;0;27748;0
2021-10-01;Região de Saúde Centro;750418;564715;136642;49061;0;872;12482;102461;12437;1;114943;0
2021-10-01;Região de Saúde LVT;1462881;1004171;332584;121278;4848;1456;22952;195313;22133;1;218265;1
2021-10-01;Região de Saúde Norte;1522704;1217810;213502;91392;0;1390;25598;189311;27792;1;214909;1
2021-11-01;Região de Saúde Alentejo;263660;228946;30168;4546;0;239;2789;23135;2255;0;25924;0
2021-11-01;Região de Saúde Algarve;274605;207819;49545;17241;0;264;2687;25844;2022;0;28531;0
2021-11-01;Região de Saúde Centro;839064;626790;157887;53965;422;947;12049;105791;13053;1;117840;1
2021-11-01;Região de Saúde LVT;1641933;1113770;388914;133924;5325;1620;23052;206390;22969;1;229442;1
2021-11-01;Região de Saúde Norte;1702704;1352990;248892;100822;0;1525;25356;201991;28794;1;227347;1
2021-12-01;Região de Saúde Alentejo;290426;251573;33854;4999;0;280;2795;21736;1665;0;24531;0
2021-12-01;Região de Saúde Algarve;299375;226605;54184;18586;0;336;2655;26066;1770;0;28721;0
2021-12-01;Região de Saúde Centro;920191;685626;174958;59116;491;1015;12391;110353;10243;1;122744;1
2021-12-01;Região de Saúde LVT;1813501;1225489;435520;146752;5740;1667;22212;209816;20006;1;232028;1
2021-12-01;Região de Saúde Norte;1872847;1485486;277069;110292;0;1694;25546;208430;25416;1;233976;1
2022-01-01;Região de Saúde Alentejo;26584;22344;3720;520;0;264;2589;20167;2161;0;22756;0
2022-01-01;Região de Saúde Algarve;24837;18883;4448;1506;0;265;2451;24623;2033;0;27074;0
2022-01-01;Região de Saúde Centro;76643;57750;13841;4996;56;978;11643;96965;12280;1;108608;0
2022-01-01;Região de Saúde LVT;155865;107663;35044;12674;484;1880;21410;198413;21165;1;219823;1
2022-01-01;Região de Saúde Norte;163606;130793;23395;9418;0;1720;24192;181939;26829;1;206131;1
2022-02-01;Região de Saúde Alentejo;51489;43231;7289;969;0;262;2535;20277;2213;0;22812;0
2022-02-01;Região de Saúde Algarve;49931;37197;9700;3034;0;244;2549;24103;1995;0;26652;0
2022-02-01;Região de Saúde Centro;152880;113421;29461;9942;56;944;11779;98439;11819;1;110218;0
2022-02-01;Região de Saúde LVT;314846;209511;79553;24807;975;1665;21306;187459;21511;1;208765;1
2022-02-01;Região de Saúde Norte;317241;251125;47971;18145;0;1698;23595;189343;27085;1;212938;1
2022-03-01;Região de Saúde Alentejo;83462;69523;12450;1489;0;267;2832;22759;2486;0;25591;0
2022-03-01;Região de Saúde Algarve;80307;59387;16232;4688;0;256;2638;25157;2230;0;27795;0
2022-03-01;Região de Saúde Centro;254807;182991;56461;15299;56;938;12958;107484;13504;1;120442;1
2022-03-01;Região de Saúde LVT;521531;334654;146481;38896;1500;1586;23269;202911;23960;1;226180;1
